Year,Election Type,County,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
2014,P,ADAMS,208541,46653,255194,36089,14.14
2014,P,ALAMOSA,7621,1361,8982,1796,20
2014,P,ARAPAHOE,324772,51854,376626,63611,16.89
2014,P,ARCHULETA,7758,1866,9624,2757,28.65
2014,P,BACA,2502,277,2779,1069,38.47
2014,P,BENT,2258,395,2653,893,33.66
2014,P,BOULDER,186465,60767,247232,39118,15.82
2014,P,BROOMFIELD,35710,6222,41932,7620,18.17
2014,P,CHAFFEE,11560,1489,13049,3594,27.54
2014,P,CHEYENNE,1292,112,1404,642,45.73
2014,P,CLEAR CREEK,6458,1025,7483,1402,18.74
2014,P,CONEJOS,4827,736,5563,1633,29.35
2014,P,COSTILLA,2327,344,2671,1218,45.6
2014,P,CROWLEY,1772,219,1991,819,41.14
2014,P,CUSTER,3097,364,3461,1844,53.28
2014,P,DELTA,17096,3613,20709,4956,23.93
2014,P,DENVER,345253,114882,460135,61088,13.28
2014,P,DOLORES,1431,209,1640,420,25.61
2014,P,DOUGLAS,186753,34460,221213,40197,18.17
2014,P,EAGLE,25872,6622,32494,4134,12.72
2014,P,EL PASO,331867,79907,411774,79374,19.28
2014,P,ELBERT,16107,2320,18427,4634,25.15
2014,P,FREMONT,24285,3642,27927,7249,25.96
2014,P,GARFIELD,27757,4757,32514,4922,15.14
2014,P,GILPIN,3833,458,4291,897,20.9
2014,P,GRAND,9455,1746,11201,2873,25.65
2014,P,GUNNISON,9394,2453,11847,1790,15.11
2014,P,HINSDALE,660,77,737,253,34.33
2014,P,HUERFANO,3979,960,4939,1723,34.89
2014,P,JACKSON,993,137,1130,577,51.06
2014,P,JEFFERSON,345822,69584,415406,75084,18.07
2014,P,KIOWA,925,93,1018,415,40.77
2014,P,KIT CARSON,4232,822,5054,1822,36.05
2014,P,LA PLATA,32312,9430,41742,5908,14.15
2014,P,LAKE,3440,1367,4807,1084,22.55
2014,P,LARIMER,197287,31056,228343,41816,18.31
2014,P,LAS ANIMAS,7840,2182,10022,2727,27.21
2014,P,LINCOLN,2616,360,2976,1161,39.01
2014,P,LOGAN,10525,1778,12303,3417,27.77
2014,P,MESA,81227,26715,107942,21875,20.27
2014,P,MINERAL,722,82,804,289,35.95
2014,P,MOFFAT,6906,2473,9379,2386,25.44
2014,P,MONTEZUMA,15252,2879,18131,4870,26.86
2014,P,MONTROSE,22462,3283,25745,6750,26.22
2014,P,MORGAN,12995,1806,14801,3874,26.17
2014,P,OTERO,9936,1090,11026,2840,25.76
2014,P,OURAY,3455,748,4203,898,21.37
2014,P,PARK,10791,2029,12820,3167,24.7
2014,P,PHILLIPS,2628,601,3229,889,27.53
2014,P,PITKIN,11653,3540,15193,1356,8.93
2014,P,PROWERS,5856,786,6642,2175,32.75
2014,P,PUEBLO,89317,16147,105464,21346,20.24
2014,P,RIO BLANCO,3714,603,4317,1727,40
2014,P,RIO GRANDE,6505,1141,7646,2253,29.47
2014,P,ROUTT,15061,3152,18213,2553,14.02
2014,P,SAGUACHE,3488,722,4210,1021,24.25
2014,P,SAN JUAN,608,91,699,79,11.3
2014,P,SAN MIGUEL,4769,1596,6365,610,9.58
2014,P,SEDGWICK,1520,146,1666,741,44.48
2014,P,SUMMIT,17678,6261,23939,2231,9.32
2014,P,TELLER,15069,2082,17151,4290,25.01
2014,P,WASHINGTON,2903,376,3279,1706,52.03
2014,P,WELD,137043,24155,161198,29301,18.18
2014,P,YUMA,5360,726,6086,2328,38.25
