"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","511868","*****"
"0500000US08031","Denver County, Colorado","716492","*****"
"0500000US08035","Douglas County, Colorado","342776","*****"
"0500000US08101","Pueblo County, Colorado","167529","*****"
"0500000US08005","Arapahoe County, Colorado","651215","*****"
"0500000US08069","Larimer County, Colorado","350518","*****"
"0500000US08077","Mesa County, Colorado","153207","*****"
"0500000US08041","El Paso County, Colorado","713856","*****"
"0500000US08123","Weld County, Colorado","314305","*****"
"0500000US08013","Boulder County, Colorado","326078","*****"
"0500000US08059","Jefferson County, Colorado","580233","*****"
"0500000US08014","Broomfield County, Colorado","69267","*****"
"0100000US","United States","327167439","*****"
